prices.dat;Preise
numbers_all.dat;Zahlen 0-99
sentence_consultation.dat;Sätze zum Thema Arztbesuch
numbers2.dat;Zahlen 10-29
numbers3.dat;Zahlen 30-49
numbers4.dat;Zahlen 50-69
numbers5.dat;Zahlen 70-89
numbers6.dat;Zahlen 90-99
sentence_food.dat;Sätze zum Thema Essen
fruits.dat;Obst
sentence_market.dat;Sätze zum Thema Wochenmarkt
minimal_pairs.dat;Minimalpaare
food.dat;Lebensmittel
sentence_useless.dat;Sätze ohne Sinn
german_citys.dat;Deutsche Städte
numbers1.dat;Zahlen 0-9
endings.dat;Endungen - Einzahl oder Mehrzahl
sentence_occupations.dat;Sätze zu verschiedenen Berufsgruppen
sentence_leisure.dat;Sätze zum Thema Freizeit und Arbeit
clothes.dat;Kleidung
occupation.dat;Berufe
